City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Teya,RU,2020-04-19 21:04:01,60.38,92.63,28.13,90,74,3.83,broken clouds,0.0,0.0
Manokwari,ID,2020-04-19 21:04:01,-0.87,134.08,81.05,71,50,3.78,scattered clouds,0.0,0.0
Iqaluit,CA,2020-04-19 21:00:46,63.75,-68.51,5.0,65,20,4.7,few clouds,0.0,0.0
Maniitsoq,GL,2020-04-19 21:04:03,65.42,-52.9,29.41,96,100,42.55,snow,0.0,2.04
Jumla,NP,2020-04-19 21:01:07,29.27,82.18,44.58,31,97,2.26,light rain,0.53,0.0
Kununurra,AU,2020-04-19 21:04:04,-15.77,128.73,75.2,88,97,2.24,overcast clouds,0.0,0.0
Srednekolymsk,RU,2020-04-19 21:04:05,67.45,153.68,0.99,91,72,11.61,broken clouds,0.0,0.0
Port Hedland,AU,2020-04-19 21:04:06,-20.32,118.57,75.2,94,74,3.36,broken clouds,0.0,0.0
Yulara,AU,2020-04-19 21:04:07,-25.24,130.99,75.2,33,18,5.82,few clouds,0.0,0.0
Thomasville,US,2020-04-19 21:02:02,35.88,-80.08,63.0,65,85,1.01,overcast clouds,0.0,0.0
Bubaque,GW,2020-04-19 21:04:08,11.28,-15.83,77.41,74,80,16.26,broken clouds,0.0,0.0
Guanare,VE,2020-04-19 21:04:09,9.04,-69.74,83.73,65,100,2.82,moderate rain,4.8,0.0
Haines Junction,CA,2020-04-19 21:04:10,60.75,-137.51,47.73,46,97,7.52,overcast clouds,0.0,0.0
Mildura,AU,2020-04-19 21:00:40,-34.2,142.15,68.0,32,100,9.17,overcast clouds,0.0,0.0
Lusambo,CD,2020-04-19 21:04:11,-4.97,23.45,70.72,84,61,1.28,light rain,0.63,0.0
Griffith,US,2020-04-19 21:04:12,41.53,-87.42,54.0,53,1,13.87,clear sky,0.0,0.0
San Jose,US,2020-04-19 21:01:07,37.34,-121.89,70.0,48,75,5.82,broken clouds,0.0,0.0
Chara,RU,2020-04-19 21:04:13,56.91,118.26,9.48,76,83,5.23,broken clouds,0.0,0.0
Boddam,GB,2020-04-19 21:02:04,57.47,-1.78,42.8,87,0,8.05,clear sky,0.0,0.0
Matara,LK,2020-04-19 21:04:14,5.95,80.54,78.04,89,25,5.86,scattered clouds,0.0,0.0
Vicuna,CL,2020-04-19 21:04:15,-30.03,-70.71,60.8,87,75,12.75,broken clouds,0.0,0.0
Esil,KZ,2020-04-19 21:04:16,51.96,66.4,49.98,74,89,6.15,overcast clouds,0.0,0.0
Sorland,NO,2020-04-19 21:04:17,67.67,12.69,40.8,93,100,18.63,overcast clouds,0.0,0.0
Basco,PH,2020-04-19 21:04:18,20.45,121.97,80.15,90,92,11.3,overcast clouds,0.0,0.0
Sesheke,ZM,2020-04-19 21:04:18,-17.48,24.3,64.4,88,5,4.59,clear sky,0.0,0.0
Whitehorse,CA,2020-04-19 21:04:19,60.72,-135.05,55.4,32,75,11.41,broken clouds,0.0,0.0
Parry Sound,CA,2020-04-19 21:04:20,45.35,-80.03,35.01,78,95,3.0,light snow,0.0,0.86
Port Huron,US,2020-04-19 21:00:17,42.97,-82.42,46.4,70,75,21.92,broken clouds,0.0,0.0
Pisco,PE,2020-04-19 21:04:21,-13.7,-76.22,77.0,61,0,13.87,clear sky,0.0,0.0
Mount Darwin,ZW,2020-04-19 21:04:22,-16.77,31.58,65.35,59,92,4.9,overcast clouds,0.0,0.0
Abbeville,FR,2020-04-19 21:03:18,50.1,1.83,52.0,66,76,8.05,broken clouds,0.0,0.0
Kandrian,PG,2020-04-19 21:04:23,-6.22,149.55,81.05,80,54,3.98,light rain,0.16,0.0
Strezhevoy,RU,2020-04-19 21:04:24,60.73,77.59,39.2,100,40,4.47,mist,0.0,0.0
Kudahuvadhoo,MV,2020-04-19 21:04:24,2.67,72.89,84.63,74,43,10.22,scattered clouds,0.0,0.0
Itambacuri,BR,2020-04-19 21:02:47,-18.03,-41.69,68.97,80,50,2.71,scattered clouds,0.0,0.0
Sangar,RU,2020-04-19 21:04:26,63.92,127.47,7.16,85,19,0.38,few clouds,0.0,0.0
Faya,SA,2020-04-19 21:04:27,18.39,42.45,66.2,72,87,1.77,overcast clouds,0.0,0.0
Soyapango,SV,2020-04-19 21:04:28,13.73,-89.15,89.6,58,20,11.41,haze,0.0,0.0
Laguna,US,2020-04-19 21:00:46,38.42,-121.42,69.01,52,40,9.17,scattered clouds,0.0,0.0
Blankenberge,BE,2020-04-19 21:04:29,51.31,3.13,53.01,71,0,10.29,clear sky,0.0,0.0
Huarmey,PE,2020-04-19 21:04:30,-10.07,-78.15,77.76,61,3,9.01,clear sky,0.0,0.0
Sartell,US,2020-04-19 21:04:31,45.62,-94.21,46.99,24,1,8.05,clear sky,0.0,0.0
Bairiki,KI,2020-04-19 21:04:31,1.33,172.98,82.4,83,20,4.7,shower rain,0.0,0.0
Soyo,AO,2020-04-19 21:04:32,-6.13,12.37,80.42,82,93,3.02,overcast clouds,0.0,0.0
Chadan,RU,2020-04-19 21:04:33,51.28,91.58,39.2,46,0,1.88,clear sky,0.0,0.0
Lewiston,US,2020-04-19 21:04:35,44.1,-70.21,60.8,31,1,17.22,clear sky,0.0,0.0
Kuah,MY,2020-04-19 21:04:36,6.33,99.84,80.6,88,20,1.12,few clouds,0.0,0.0
Markova,UA,2020-04-19 21:04:36,48.68,24.41,36.14,64,70,3.24,broken clouds,0.0,0.0
Dwarka,IN,2020-04-19 21:02:45,22.24,68.97,80.51,81,8,11.56,clear sky,0.0,0.0
Aklavik,CA,2020-04-19 21:04:38,68.22,-135.01,17.6,57,90,6.93,overcast clouds,0.0,0.0
Binga,ZW,2020-04-19 21:04:39,-17.62,27.34,74.52,45,40,7.16,scattered clouds,0.0,0.0
Mogadishu,SO,2020-04-19 21:01:06,2.04,45.34,84.29,72,78,8.05,light rain,0.27,0.0
Lodja,CD,2020-04-19 21:04:40,-3.48,23.43,70.12,86,100,2.39,light rain,0.42,0.0
Antsirabe,MG,2020-04-19 21:04:40,-19.85,47.03,52.9,57,36,4.43,scattered clouds,0.0,0.0
Lapy,PL,2020-04-19 21:04:41,52.99,22.88,41.0,57,0,35.01,clear sky,0.0,0.0
Grand Island,US,2020-04-19 20:59:45,40.92,-98.34,62.6,37,1,9.17,clear sky,0.0,0.0
Katangli,RU,2020-04-19 21:04:42,51.71,143.23,32.97,91,100,3.42,overcast clouds,0.0,0.0
Ribeira Brava,PT,2020-04-19 21:04:43,32.65,-17.07,59.0,85,28,4.0,scattered clouds,0.0,0.0
Novo Aripuana,BR,2020-04-19 21:04:44,-5.12,-60.38,80.33,88,83,2.08,light rain,2.15,0.0
Saint-Michel-Des-Saints,CA,2020-04-19 21:04:44,46.68,-73.92,41.0,8,100,2.73,light rain,0.68,0.0
Ostrovnoy,RU,2020-04-19 21:04:45,68.05,39.51,28.85,96,89,8.95,overcast clouds,0.0,0.0
Karasburg,NA,2020-04-19 21:04:46,-28.02,18.75,72.81,20,13,5.53,few clouds,0.0,0.0
Padang,ID,2020-04-19 21:02:38,-0.95,100.35,78.03,77,7,3.89,light rain,0.12,0.0
Poum,NC,2020-04-19 21:04:47,-20.23,164.02,80.04,78,99,11.25,light rain,1.77,0.0
Vranjska Banja,RS,2020-04-19 21:04:47,42.55,21.99,59.0,53,95,2.21,overcast clouds,0.0,0.0
Panzhihua,CN,2020-04-19 21:04:48,26.59,101.71,61.59,35,0,2.19,clear sky,0.0,0.0
Pinheiro Machado,BR,2020-04-19 21:04:49,-31.58,-53.38,70.0,54,0,4.0,clear sky,0.0,0.0
Kolondieba,ML,2020-04-19 21:04:50,11.09,-6.89,92.8,25,51,4.81,broken clouds,0.0,0.0
Novyy Buh,UA,2020-04-19 21:04:51,47.69,32.52,46.4,36,100,4.47,overcast clouds,0.0,0.0
Veraval,IN,2020-04-19 21:04:51,20.9,70.37,80.22,57,2,11.59,clear sky,0.0,0.0
Inuvik,CA,2020-04-19 21:04:52,68.35,-133.72,17.6,57,90,6.93,overcast clouds,0.0,0.0
Kailua,US,2020-04-19 21:04:53,21.4,-157.74,82.4,54,1,9.17,clear sky,0.0,0.0
Ugoofaaru,MV,2020-04-19 21:02:05,5.67,73.0,85.95,72,0,8.52,clear sky,0.0,0.0
La Paz,BO,2020-04-19 21:04:25,-16.5,-68.15,55.4,43,75,10.29,broken clouds,0.0,0.0
