,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
377,Sapa,PH,83.98,broken clouds,5.15,120.32,
378,Mecca,SA,79.03,broken clouds,21.43,39.83,Al Shohada Hotel MAKKAH
384,Rio Gallegos,AR,50.0,broken clouds,-51.62,-69.22,Hotel Santa Cruz
387,Rosario Do Sul,BR,82.27,clear sky,-30.26,-54.91,Hotel Areias Brancas
390,Bubaque,GW,77.9,broken clouds,11.28,-15.83,Casa Dora
392,Banda Aceh,ID,80.06,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
393,Pilar,BR,82.4,shower rain,-9.6,-35.96,Pousada Manguaba
394,Cockburn Town,TC,78.55,few clouds,21.46,-71.14,Osprey Beach Hotel
396,Ugoofaaru,MV,86.04,scattered clouds,5.67,73.0,Ungoofaaru Inn
397,Korla,CN,61.0,overcast clouds,41.76,86.15,Gulisitan Hotel
398,Petatlan,MX,86.0,clear sky,17.52,-101.27,Hotel California Petatlán
399,Weligama,LK,80.22,overcast clouds,5.97,80.42,Weligama Bay Resort
400,Safaga,EG,77.0,clear sky,26.73,33.94,Lamar Resort Abu Soma
405,Dingle,PH,80.31,overcast clouds,11.0,122.67,Camp Pasica
408,Kaitangata,NZ,50.0,broken clouds,-46.28,169.85,Kaitangata Motor Camp
409,Le Mars,US,53.6,scattered clouds,42.79,-96.17,Holiday Inn Express & Suites Le Mars
410,Huilong,CN,55.99,broken clouds,31.81,121.66,Hilton Garden Inn Qidong
411,Puerto Escondido,MX,89.6,clear sky,15.85,-97.07,Aldea del Bazar Hotel and Spa
412,Bethel,US,61.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
413,Nelson Bay,AU,55.0,few clouds,-32.72,152.15,Mantra Nelson Bay
414,Sungairaya,ID,78.39,broken clouds,0.7,108.9,808 artel
415,Marsh Harbour,BS,81.25,few clouds,26.54,-77.06,Abaco Beach Resort
416,Belmonte,BR,73.4,light rain,-15.86,-38.88,Pousada Monte Carmelo O Pão
417,Saint-Francois,FR,60.01,light rain,46.42,3.91,Manoir Du Bonheur
418,Imbituba,BR,77.0,few clouds,-28.24,-48.67,Praia Hotel Imbituba
419,Bojnurd,IR,55.4,few clouds,37.47,57.33,Hotel negin
420,San Carlos De Bariloche,AR,53.6,broken clouds,-41.15,-71.31,Hotel Patagonia
421,Seydi,TM,74.55,scattered clouds,39.48,62.91,
422,Okato,NZ,54.0,scattered clouds,-39.2,173.88,Goodin Country Garden
423,Nishihara,JP,75.2,few clouds,26.18,127.76,Minshuku Agaihama
424,Suez,EG,69.75,clear sky,29.97,32.53,Green House
428,Gerash,IR,71.6,overcast clouds,27.67,54.14,Chelpasin
435,Taitung,TW,78.96,scattered clouds,22.76,121.14,Taitung Bali Suites Hotel
436,Mogadishu,SO,84.88,overcast clouds,2.04,45.34,Hotel Juba
439,Atasu,KZ,57.06,scattered clouds,48.68,71.64,Dostyk
