City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Khatanga,RU,2020-04-16 04:10:01,71.97,102.5,3.36,91,22,8.08
98,Camapua,BR,2020-04-16 04:10:01,-19.53,-54.04,58.23,59,0,6.73
99,Nikolskoye,RU,2020-04-16 04:10:02,59.7,30.79,34.0,97,90,4.47
100,Cartagena,CO,2020-04-16 04:06:56,10.4,-75.51,80.26,78,39,16.93
101,Benjamin Constant,BR,2020-04-16 04:10:02,-4.38,-70.03,77.0,100,40,3.29
102,Freiberg,DE,2020-04-16 04:10:02,50.92,13.37,44.01,65,1,8.05
103,Ponta Do Sol,PT,2020-04-16 04:10:03,32.67,-17.1,60.8,63,40,10.29
104,Rajgurunagar,IN,2020-04-16 04:10:03,18.87,73.9,88.47,23,3,7.87
105,Carnarvon,AU,2020-04-16 04:10:03,-24.87,113.63,91.4,19,57,13.87
106,Caucaia,BR,2020-04-16 04:10:03,-3.74,-38.65,78.8,83,61,2.24
107,Baculin,PH,2020-04-16 04:10:03,7.45,126.58,87.67,60,23,8.39
108,Torbay,CA,2020-04-16 04:05:14,47.67,-52.73,37.0,98,90,12.75
109,Yellowknife,CA,2020-04-16 04:08:46,62.46,-114.35,24.01,85,75,6.93
110,Kodiak,US,2020-04-16 04:10:04,57.79,-152.41,48.2,81,90,6.93
111,Ongandjera,NA,2020-04-16 04:10:05,-17.88,15.07,70.74,26,0,5.46
112,Nanortalik,GL,2020-04-16 04:10:05,60.14,-45.24,35.37,93,100,14.61
113,Shakawe,BW,2020-04-16 04:10:05,-18.37,21.85,72.81,36,75,2.89
114,Sinnamary,GF,2020-04-16 04:10:05,5.38,-52.95,78.28,79,0,9.66
115,Lorengau,PG,2020-04-16 04:10:06,-2.02,147.27,83.93,70,66,3.24
116,Rio Grande,BR,2020-04-16 04:10:06,-32.03,-52.1,59.0,82,36,1.99
117,Makakilo City,US,2020-04-16 04:10:06,21.35,-158.09,82.4,69,75,9.17
118,Marbella,ES,2020-04-16 04:10:07,36.52,-4.89,62.6,93,75,11.41
119,Vila Velha,BR,2020-04-16 04:08:19,-20.33,-40.29,78.8,83,99,7.05
120,Nome,US,2020-04-16 04:10:07,64.5,-165.41,36.0,93,90,3.36
121,Dingzhou,CN,2020-04-16 04:10:07,38.51,115.0,66.2,52,0,2.24
122,Esna,EG,2020-04-16 04:10:07,25.29,32.55,66.2,39,0,4.9
123,Trinidad,BO,2020-04-16 04:10:08,-14.83,-64.9,66.45,63,63,3.09
124,Gizo,SB,2020-04-16 04:10:08,-8.1,156.84,84.74,71,96,3.13
125,Terrace,CA,2020-04-16 04:10:08,54.52,-128.6,57.2,44,75,6.93
126,Baruun-Urt,MN,2020-04-16 04:10:08,46.68,113.28,48.58,34,59,18.34
127,Cape Town,ZA,2020-04-16 04:06:08,-33.93,18.42,53.6,87,0,2.24
128,Pacific Grove,US,2020-04-16 04:10:09,36.62,-121.92,63.0,82,90,5.82
129,Kyren,RU,2020-04-16 04:10:10,51.68,102.14,53.08,27,0,2.21
130,Dingle,PH,2020-04-16 04:10:10,11.0,122.67,88.56,58,89,10.8
131,Souillac,MU,2020-04-16 04:10:10,-20.52,57.52,80.01,78,40,12.75
132,Broome,US,2020-04-16 04:07:32,42.25,-75.83,34.0,92,90,4.7
133,Folldal,NO,2020-04-16 04:10:11,62.13,10.0,22.91,86,20,10.76
134,Coihaique,CL,2020-04-16 04:10:11,-45.58,-72.07,51.8,93,20,4.7
135,Borogontsy,RU,2020-04-16 04:10:11,62.67,131.17,21.24,79,0,9.98
136,Kaitangata,NZ,2020-04-16 04:10:11,-46.28,169.85,54.0,57,40,14.0
137,Cam Ranh,VN,2020-04-16 04:10:12,11.92,109.16,87.8,70,20,9.17
138,Pokhara,NP,2020-04-16 04:05:42,28.23,83.98,75.47,27,19,0.85
139,Sur,OM,2020-04-16 04:10:13,22.57,59.53,78.89,69,99,8.86
140,Berlevag,NO,2020-04-16 04:10:13,70.86,29.09,31.53,94,20,11.77
141,Pandan,PH,2020-04-16 04:10:13,14.05,124.17,81.79,77,89,2.93
142,Caravelas,BR,2020-04-16 04:06:17,-17.71,-39.25,77.94,85,90,6.8
143,Mae Sai,TH,2020-04-16 04:10:13,20.43,99.88,78.8,74,7,4.7
144,Damietta,EG,2020-04-16 04:07:06,31.42,31.81,64.4,82,0,10.29
145,Chalons-En-Champagne,FR,2020-04-16 04:10:14,48.95,4.37,48.2,76,0,9.17
146,Mufumbwe,ZM,2020-04-16 04:10:14,-13.68,24.8,62.17,68,55,4.23
147,Colares,PT,2020-04-16 04:10:14,38.8,-9.45,55.99,93,75,9.17
148,Tayoltita,MX,2020-04-16 04:10:14,24.08,-105.93,62.8,22,80,2.46
149,Hermanus,ZA,2020-04-16 04:10:14,-34.42,19.23,59.32,82,0,5.41
150,Port Hedland,AU,2020-04-16 04:10:15,-20.32,118.57,95.0,53,72,11.41
151,Ahipara,NZ,2020-04-16 04:10:15,-35.17,173.17,65.5,78,62,21.81
152,Ribeira Grande,PT,2020-04-16 04:10:15,38.52,-28.7,55.65,72,39,18.14
153,Chuy,UY,2020-04-16 04:10:16,-33.7,-53.46,62.6,77,71,18.97
154,Ugra,RU,2020-04-16 04:10:16,54.78,34.33,35.55,79,88,11.32
155,Mamlyutka,KZ,2020-04-16 04:10:16,54.94,68.54,51.8,57,39,15.66
156,Massakory,TD,2020-04-16 04:10:17,13.0,15.73,78.91,13,0,13.94
157,Pitimbu,BR,2020-04-16 04:10:17,-7.47,-34.81,77.0,88,78,3.36
158,Surin,TH,2020-04-16 04:06:18,14.88,103.49,87.8,62,97,4.7
159,Ko Samui,TH,2020-04-16 04:05:57,9.54,99.94,87.8,70,20,11.41
160,Mujiayingzi,CN,2020-04-16 04:10:18,42.12,118.78,47.95,49,100,13.6
161,Kasane,BW,2020-04-16 04:10:18,-17.82,25.15,60.8,100,0,2.24
162,Necochea,AR,2020-04-16 04:10:18,-38.55,-58.74,51.08,73,0,1.97
163,Puro,PH,2020-04-16 04:10:19,12.48,123.38,85.77,64,97,4.83
164,Chandbali,IN,2020-04-16 04:10:19,20.78,86.77,87.73,58,0,14.32
165,Katsuura,JP,2020-04-16 04:10:19,35.13,140.3,60.01,67,75,16.11
166,New Norfolk,AU,2020-04-16 04:10:19,-42.78,147.06,61.0,36,40,19.46
167,Fortuna,US,2020-04-16 04:10:20,40.6,-124.16,53.01,93,90,10.29
168,Praya,CV,2020-04-16 04:10:20,14.92,-23.51,69.8,73,20,13.87
169,Jamestown,US,2020-04-16 04:07:47,42.1,-79.24,28.99,92,75,10.29
170,Acarau,BR,2020-04-16 04:10:20,-2.89,-40.12,76.37,86,100,2.24
171,Pimentel,PE,2020-04-16 04:10:20,-6.84,-79.93,72.41,76,43,12.86
172,Yar-Sale,RU,2020-04-16 04:10:21,66.83,70.83,13.73,90,0,11.05
173,Uzhur,RU,2020-04-16 04:10:21,55.3,89.83,45.95,48,0,12.59
174,Glazov,RU,2020-04-16 04:10:21,58.14,52.66,35.55,79,100,17.56
175,Elizabeth City,US,2020-04-16 04:08:24,36.29,-76.25,44.6,93,1,3.36
176,Ust-Kuyga,RU,2020-04-16 04:10:22,70.02,135.6,2.53,89,100,13.29
177,Mahon,ES,2020-04-16 04:10:22,39.89,4.27,59.0,87,100,8.05
178,Alofi,NU,2020-04-16 04:10:22,-19.06,-169.92,84.2,66,40,8.05
179,Lompoc,US,2020-04-16 04:07:50,34.64,-120.46,61.0,93,75,6.93
180,Ibotirama,BR,2020-04-16 04:10:23,-12.19,-43.22,69.75,83,100,1.14
181,Bambous Virieux,MU,2020-04-16 04:10:23,-20.34,57.76,80.01,78,40,12.75
182,Cidreira,BR,2020-04-16 04:10:23,-30.18,-50.21,64.74,63,51,19.17
183,Severodvinsk,RU,2020-04-16 04:10:24,64.56,39.83,35.6,93,40,13.42
